epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0489,0.76939,2.27283,3.11958,1.08548,0.01032,0.38204,0.12434,0.07439,0.00072,0.01906,0.00044,0.00013,1.30945,202.857,3.14738,1.56221,0.0906824,9.41176e-05,9.41176e-05
2,171.063,0.69113,1.58271,1.94449,1.0058,0.09225,0.34231,0.10943,0.05282,0.00861,0.10885,0.00524,0.00177,1.12358,22.3434,2.72198,1.25601,0.0807824,0.000194116,0.000194116
3,276.413,0.7502,1.6148,1.732,1.03898,0.44752,0.46739,0.37324,0.30584,0.44308,0.43495,0.35483,0.26883,1.11241,3.38619,2.80567,1.19967,0.0708823,0.000294106,0.000294106
4,422.467,0.63436,1.45815,1.24343,1.02089,0.23499,0.88714,0.48126,0.3597,0.18289,0.61625,0.2544,0.10905,0.91358,5.35051,2.99512,1.14186,0.0609823,0.000394083,0.000394083
5,504.826,0.63731,1.37966,1.06181,0.98037,0.62549,0.54643,0.76969,0.6262,0.15836,0.77814,0.4689,0.24473,0.69996,4.43284,2.36763,0.98912,0.0510823,0.00049404,0.00049404
6,579.212,0.69093,1.36923,1.02149,0.9827,0.27001,0.95752,0.88525,0.74621,0.26653,0.92029,0.82569,0.62514,0.55999,1.53073,2.20137,0.91734,0.0411822,0.000593973,0.000593973
7,682.334,0.67572,1.32774,0.98567,0.98223,0.90564,0.76568,0.94359,0.81574,0.82089,0.69488,0.81492,0.55178,0.55306,2.04732,1.3926,0.90233,0.0312821,0.000693874,0.000693874
8,750.272,0.66761,1.26891,0.91027,0.96473,0.74404,0.78706,0.84795,0.73648,0.7326,0.77411,0.83095,0.63233,0.5626,1.4961,1.26007,0.91005,0.021382,0.000793738,0.000793738
9,840.518,0.69611,1.2806,0.88272,0.97917,0.84904,0.76457,0.86738,0.67779,0.82904,0.74816,0.82648,0.60999,0.74853,1.5467,1.36491,1.01234,0.0114818,0.000893559,0.000893559
10,895.399,0.69211,1.35405,0.85362,0.95815,0.85731,0.87942,0.95162,0.81353,0.84466,0.86817,0.92851,0.70261,0.55253,1.58872,0.74734,0.91952,0.00158157,0.000993331,0.000993331
11,1039.6,0.6504,1.28911,0.84981,0.99393,0.8611,0.84815,0.93085,0.81022,0.84139,0.84744,0.90368,0.72172,0.51832,1.19121,0.83885,0.88102,0.000999023,0.000999023,0.000999023
12,1116.21,0.61013,1.21143,0.75729,0.9509,0.94253,0.90549,0.95975,0.85082,0.9421,0.90198,0.94704,0.78635,0.50232,1.03,0.71974,0.87009,0.000998818,0.000998818,0.000998818
13,1195.7,0.62269,1.21453,0.72955,0.95468,0.83821,0.85376,0.93997,0.79818,0.82616,0.83648,0.91473,0.70762,0.57749,1.33512,0.776,0.91143,0.000998594,0.000998594,0.000998594
14,1292.95,0.59494,1.14986,0.66862,0.94954,0.92107,0.89638,0.97334,0.87267,0.9085,0.89292,0.95391,0.77893,0.45985,1.16388,0.62955,0.85208,0.00099835,0.00099835,0.00099835
15,1368.15,0.59617,1.17695,0.68312,0.93913,0.88204,0.76711,0.94299,0.85024,0.79155,0.82129,0.93002,0.76678,0.46821,1.15241,0.83115,0.86306,0.000998086,0.000998086,0.000998086
16,1483.78,0.59025,1.15681,0.67775,0.95915,0.88953,0.9006,0.95659,0.84682,0.88315,0.8923,0.94461,0.77774,0.53053,1.15493,0.73541,0.88532,0.000997803,0.000997803,0.000997803
17,1584.85,0.60903,1.16565,0.64281,0.9392,0.93682,0.89645,0.95901,0.85849,0.93682,0.89645,0.95513,0.79734,0.48138,1.0731,0.64448,0.86622,0.000997501,0.000997501,0.000997501
18,1700.64,0.58863,1.17538,0.65539,0.94747,0.9205,0.88043,0.96722,0.86218,0.9171,0.87819,0.95611,0.78086,0.46177,1.08187,0.6106,0.86588,0.000997179,0.000997179,0.000997179
19,1788.68,0.60692,1.15835,0.65844,0.93179,0.94451,0.93601,0.97886,0.87707,0.93764,0.90218,0.94363,0.78832,0.46636,1.08183,0.5345,0.85975,0.000996838,0.000996838,0.000996838
20,1862.41,0.59027,1.14601,0.61904,0.93058,0.89903,0.86933,0.95274,0.86247,0.89686,0.86775,0.94319,0.78098,0.44726,1.03834,0.6652,0.85942,0.000996477,0.000996477,0.000996477
21,1964.75,0.57265,1.14319,0.60339,0.92987,0.74908,0.85659,0.92011,0.81527,0.73795,0.8483,0.90692,0.73207,0.4621,1.11117,0.92386,0.87656,0.000996097,0.000996097,0.000996097
22,2070.77,0.5717,1.1133,0.62103,0.93432,0.924,0.85447,0.96136,0.86699,0.92421,0.85447,0.9581,0.7938,0.44008,1.0028,0.57082,0.83954,0.000995697,0.000995697,0.000995697
23,2168.12,0.55632,1.11036,0.56901,0.92844,0.94663,0.92761,0.98268,0.87274,0.93399,0.91581,0.95227,0.80192,0.46352,1.01277,0.48119,0.86938,0.000995278,0.000995278,0.000995278
24,2219.93,0.60888,1.14735,0.62776,0.93408,0.92794,0.95241,0.97873,0.87071,0.92159,0.94523,0.97139,0.80013,0.48946,1.05505,0.50944,0.86527,0.00099484,0.00099484,0.00099484
25,2277.26,0.56507,1.08078,0.55641,0.92061,0.97114,0.95497,0.98914,0.88864,0.9622,0.94635,0.97267,0.8198,0.46399,1.0109,0.46442,0.85348,0.000994383,0.000994383,0.000994383
26,2358.79,0.55571,1.07081,0.53738,0.92343,0.95924,0.93629,0.97703,0.87906,0.95905,0.93613,0.969,0.80597,0.46409,0.93909,0.50041,0.85247,0.000993906,0.000993906,0.000993906
27,2440.9,0.58285,1.10403,0.58058,0.93273,0.94335,0.95279,0.9773,0.88278,0.93997,0.94943,0.96537,0.8065,0.43811,0.95989,0.45967,0.84489,0.00099341,0.00099341,0.00099341
28,2521.8,0.57018,1.09251,0.55244,0.91955,0.9689,0.96673,0.98961,0.91344,0.97296,0.96118,0.98572,0.84532,0.40947,0.84444,0.40106,0.83278,0.000992894,0.000992894,0.000992894
29,2587.35,0.55565,1.079,0.52669,0.92186,0.93155,0.94379,0.98778,0.90902,0.9283,0.93978,0.97624,0.82185,0.40692,0.96691,0.44339,0.83242,0.000992359,0.000992359,0.000992359
30,2700.09,0.55369,1.08823,0.53156,0.91646,0.91701,0.93026,0.97744,0.8951,0.95138,0.88472,0.96854,0.81895,0.42546,0.97695,0.50133,0.83956,0.000991805,0.000991805,0.000991805
31,2763.44,0.56404,1.10068,0.52509,0.91301,0.87993,0.86708,0.95445,0.87363,0.87653,0.86505,0.95086,0.80615,0.42531,0.96986,0.61606,0.83954,0.000991232,0.000991232,0.000991232
32,2858.73,0.52024,1.03801,0.50037,0.92094,0.93656,0.95559,0.98023,0.90199,0.93074,0.94433,0.96841,0.79873,0.40192,1.0855,0.45306,0.82703,0.00099064,0.00099064,0.00099064
33,2956.26,0.53428,1.05649,0.52019,0.91698,0.97842,0.96287,0.99003,0.91809,0.96777,0.9555,0.98372,0.84089,0.39159,0.8595,0.38682,0.82194,0.000990028,0.000990028,0.000990028
34,3070.3,0.54131,1.0575,0.49866,0.92043,0.98025,0.96421,0.98992,0.91449,0.97863,0.96265,0.98642,0.83904,0.396,0.86023,0.37891,0.82402,0.000989398,0.000989398,0.000989398
35,3153.81,0.5576,1.0439,0.50865,0.91633,0.97935,0.97619,0.99331,0.9188,0.97802,0.9729,0.98844,0.85537,0.39901,0.79476,0.35875,0.83106,0.000988748,0.000988748,0.000988748
36,3283.63,0.52328,1.0278,0.48734,0.92251,0.9646,0.94554,0.98413,0.9115,0.95948,0.94037,0.97693,0.83443,0.39703,0.98655,0.46093,0.83186,0.000988079,0.000988079,0.000988079
37,3410.76,0.52537,1.06491,0.49034,0.9284,0.92637,0.94703,0.98723,0.91537,0.92637,0.94703,0.98536,0.84471,0.38912,0.90993,0.44994,0.81542,0.000987391,0.000987391,0.000987391
38,3500.81,0.53402,1.01957,0.49461,0.91299,0.96355,0.9334,0.98221,0.91296,0.96355,0.9334,0.9755,0.82552,0.39177,0.93611,0.38857,0.81515,0.000986684,0.000986684,0.000986684
39,3582.36,0.52376,0.9859,0.47386,0.90529,0.9345,0.93309,0.98314,0.91152,0.93102,0.92964,0.97664,0.83615,0.39057,0.88524,0.46385,0.83339,0.000985958,0.000985958,0.000985958
40,3694.72,0.55423,1.07679,0.51462,0.92508,0.99041,0.9732,0.99005,0.93062,0.98511,0.96819,0.98246,0.84834,0.37754,0.84816,0.36042,0.82036,0.000985213,0.000985213,0.000985213
41,3772.9,0.52964,1.02118,0.47443,0.90438,0.97149,0.96366,0.99088,0.92545,0.97149,0.96366,0.98584,0.85242,0.38037,0.8393,0.37477,0.80868,0.000984449,0.000984449,0.000984449
42,3867.82,0.51664,0.97938,0.45466,0.90239,0.97951,0.98765,0.99439,0.93055,0.9777,0.98602,0.99218,0.86658,0.3743,0.76996,0.366,0.81612,0.000983666,0.000983666,0.000983666
43,3966.18,0.50569,0.99073,0.44599,0.90891,0.97036,0.97306,0.98916,0.91667,0.96867,0.97134,0.98795,0.84641,0.38406,0.84754,0.39677,0.81827,0.000982864,0.000982864,0.000982864
44,4080.16,0.50534,0.97577,0.44574,0.91076,0.99181,0.97716,0.99366,0.925,0.99008,0.97544,0.99263,0.86185,0.37945,0.79349,0.35443,0.8117,0.000982043,0.000982043,0.000982043
45,4166.24,0.53,1.04396,0.48034,0.91187,0.96207,0.94651,0.98952,0.91452,0.95742,0.94851,0.98281,0.8319,0.39073,0.88627,0.39342,0.81442,0.000981204,0.000981204,0.000981204
46,4277.82,0.51499,1.00996,0.45731,0.91417,0.97816,0.98865,0.99381,0.92567,0.9771,0.98183,0.98268,0.84057,0.38139,0.91806,0.31858,0.81606,0.000980345,0.000980345,0.000980345
47,4365.56,0.53961,1.03031,0.49043,0.91493,0.96648,0.97361,0.98937,0.90743,0.96686,0.97322,0.98448,0.84108,0.41299,0.81323,0.37213,0.82361,0.000979468,0.000979468,0.000979468
48,4439.58,0.54115,1.00773,0.46483,0.89814,0.97849,0.98474,0.99325,0.91693,0.9734,0.97973,0.98965,0.85738,0.39334,0.84497,0.34463,0.81437,0.000978572,0.000978572,0.000978572
49,4535.94,0.54664,0.99301,0.48055,0.90528,0.99411,0.98385,0.9939,0.92493,0.99069,0.98057,0.99117,0.86967,0.38875,0.79158,0.32242,0.80773,0.000977658,0.000977658,0.000977658
50,4615.52,0.52419,0.97888,0.44608,0.89817,0.97347,0.9744,0.98832,0.91036,0.96816,0.96933,0.98349,0.84632,0.39903,0.84437,0.35425,0.8222,0.000976725,0.000976725,0.000976725
51,4665.14,0.52976,0.96679,0.45831,0.89307,0.9728,0.97914,0.99179,0.9186,0.97966,0.96221,0.98805,0.85342,0.39856,0.85276,0.37495,0.8229,0.000975773,0.000975773,0.000975773
52,4727.78,0.51219,0.96278,0.43365,0.89161,0.96009,0.96697,0.99223,0.92974,0.95649,0.96352,0.98892,0.86097,0.36872,0.78438,0.37946,0.81466,0.000974803,0.000974803,0.000974803
53,4782.24,0.51408,0.97655,0.43936,0.8908,0.97035,0.98044,0.99089,0.92489,0.96705,0.97699,0.98631,0.85092,0.36956,0.82691,0.36902,0.81908,0.000973814,0.000973814,0.000973814
54,4862.89,0.49263,0.95409,0.41307,0.88514,0.98566,0.97287,0.99151,0.92216,0.98566,0.97287,0.98848,0.8615,0.39085,0.81498,0.3425,0.81796,0.000972806,0.000972806,0.000972806
55,4926.19,0.50929,0.97765,0.43892,0.88995,0.99054,0.9786,0.99284,0.93208,0.99054,0.9786,0.99202,0.85151,0.36297,0.87267,0.31611,0.81323,0.00097178,0.00097178,0.00097178
56,5000.63,0.48665,0.97001,0.41414,0.88438,0.98714,0.97161,0.99286,0.93197,0.98714,0.97161,0.99089,0.86695,0.36067,0.74455,0.3187,0.8063,0.000970736,0.000970736,0.000970736
57,5067.63,0.50745,1.01491,0.43051,0.90065,0.98953,0.97441,0.98875,0.93414,0.98764,0.9727,0.98707,0.8654,0.35567,0.77138,0.31824,0.80649,0.000969673,0.000969673,0.000969673
58,5151.49,0.49924,0.97844,0.41148,0.88748,0.99126,0.99003,0.99392,0.93205,0.9932,0.99174,0.99449,0.86315,0.37434,0.83987,0.32603,0.81424,0.000968592,0.000968592,0.000968592
59,5235.96,0.51005,0.97872,0.43098,0.89416,0.99583,0.99076,0.99483,0.93672,0.98595,0.99153,0.99072,0.88404,0.36527,0.70398,0.30831,0.80745,0.000967493,0.000967493,0.000967493
60,5322.97,0.51553,0.97815,0.4393,0.90576,0.91959,0.92264,0.97142,0.90193,0.91618,0.91919,0.96959,0.8312,0.398,0.86261,0.47407,0.81509,0.000966375,0.000966375,0.000966375
61,5401.53,0.49821,0.96643,0.42163,0.89464,0.98611,0.985,0.99461,0.93853,0.98492,0.98653,0.99269,0.87198,0.35296,0.75523,0.3101,0.80466,0.000965239,0.000965239,0.000965239
62,5487.49,0.47734,0.90439,0.39803,0.89884,0.99266,0.9858,0.99446,0.93851,0.99077,0.98417,0.99229,0.87183,0.3508,0.75762,0.28788,0.80461,0.000964085,0.000964085,0.000964085
63,5535.78,0.48299,0.92614,0.40007,0.87899,0.99354,0.98748,0.99409,0.92832,0.99178,0.98581,0.99358,0.87663,0.36588,0.73027,0.2925,0.80378,0.000962913,0.000962913,0.000962913
64,5600.9,0.47607,0.90743,0.38585,0.88144,0.9639,0.96698,0.99209,0.92669,0.96583,0.96871,0.99033,0.86448,0.36301,0.80913,0.35187,0.80847,0.000961723,0.000961723,0.000961723
65,5700.02,0.50201,0.9476,0.41761,0.89942,0.98851,0.98449,0.99171,0.93503,0.98946,0.98441,0.99302,0.87718,0.35095,0.72619,0.30924,0.80105,0.000960515,0.000960515,0.000960515
66,5795.78,0.5301,0.94819,0.4231,0.90394,0.98832,0.98017,0.99155,0.92464,0.99016,0.98194,0.99335,0.86697,0.38966,0.77334,0.31658,0.81475,0.000959289,0.000959289,0.000959289
67,5891.8,0.50675,0.94964,0.40996,0.89239,0.99013,0.99372,0.99456,0.93515,0.98837,0.99199,0.99339,0.87813,0.36446,0.7507,0.30106,0.80713,0.000958044,0.000958044,0.000958044
68,5990.43,0.4918,0.94069,0.39979,0.89084,0.99487,0.98764,0.99475,0.93866,0.99585,0.99086,0.99485,0.86884,0.36041,0.76353,0.29302,0.80832,0.000956782,0.000956782,0.000956782
69,6085.7,0.49064,0.93112,0.39855,0.89187,0.99274,0.99058,0.99466,0.94178,0.99194,0.98804,0.99441,0.88492,0.3502,0.69081,0.30447,0.80663,0.000955502,0.000955502,0.000955502
70,6183.86,0.48341,0.92907,0.40628,0.88933,0.98229,0.98529,0.9938,0.9393,0.97996,0.98841,0.99399,0.87633,0.35419,0.7661,0.30961,0.804,0.000954205,0.000954205,0.000954205
71,6308.62,0.46856,0.9215,0.38437,0.89464,0.99499,0.98893,0.99492,0.94609,0.99499,0.98893,0.99417,0.87335,0.34667,0.76483,0.28845,0.80566,0.000952889,0.000952889,0.000952889
72,6347.98,0.49257,0.94369,0.41218,0.87675,0.99334,0.97646,0.99433,0.94093,0.99334,0.97646,0.99374,0.85636,0.34186,0.80629,0.30284,0.79854,0.000951556,0.000951556,0.000951556
73,6420.23,0.49144,0.95209,0.39581,0.88096,0.98708,0.98615,0.99452,0.94493,0.98716,0.98125,0.99383,0.87829,0.34563,0.75408,0.29773,0.79623,0.000950206,0.000950206,0.000950206
74,6513.57,0.49573,0.93464,0.40541,0.89005,0.98583,0.97863,0.99392,0.93188,0.98404,0.9769,0.99116,0.86317,0.36177,0.78222,0.30844,0.80611,0.000948837,0.000948837,0.000948837
75,6631.02,0.45878,0.90158,0.37168,0.88607,0.9864,0.98073,0.99262,0.94194,0.9864,0.98073,0.9931,0.8653,0.33723,0.8009,0.28199,0.79899,0.000947452,0.000947452,0.000947452
76,6705.98,0.48957,0.98451,0.4099,0.89069,0.9847,0.98739,0.99332,0.93924,0.98124,0.98394,0.99015,0.88247,0.3422,0.69837,0.2904,0.80382,0.000946048,0.000946048,0.000946048
77,6771.82,0.48321,0.9957,0.39143,0.88607,0.99296,0.99138,0.99472,0.93849,0.99101,0.98727,0.99412,0.87472,0.35518,0.78243,0.28698,0.8066,0.000944628,0.000944628,0.000944628
78,6860.22,0.47909,0.92073,0.38829,0.88969,0.99091,0.99315,0.99488,0.93761,0.99187,0.99307,0.99374,0.8663,0.36789,0.80574,0.28874,0.80524,0.000943189,0.000943189,0.000943189
79,6951.83,0.4563,0.91991,0.36005,0.87878,0.9974,0.97703,0.99449,0.9458,0.9974,0.97703,0.99301,0.88677,0.32882,0.68915,0.2781,0.79795,0.000941734,0.000941734,0.000941734
80,7019.84,0.47298,0.94638,0.38015,0.87955,0.99276,0.98534,0.99365,0.94304,0.98938,0.98206,0.98956,0.87156,0.33966,0.76602,0.27684,0.79902,0.000940262,0.000940262,0.000940262
81,7119.3,0.48221,0.96173,0.39468,0.8901,0.99573,0.98498,0.99336,0.94521,0.99417,0.98342,0.99344,0.87242,0.33829,0.75964,0.27857,0.80085,0.000938772,0.000938772,0.000938772
82,7219.97,0.46593,0.89765,0.37092,0.88458,0.97864,0.98698,0.99296,0.94991,0.97864,0.98698,0.99296,0.88656,0.33105,0.70035,0.28528,0.79199,0.000937265,0.000937265,0.000937265
83,7296.27,0.4839,0.90842,0.38107,0.87888,0.98778,0.9922,0.9948,0.95127,0.98601,0.99048,0.99296,0.88212,0.32864,0.70213,0.28219,0.79462,0.000935741,0.000935741,0.000935741
84,7395.85,0.47648,0.8967,0.38129,0.89051,0.99213,0.99029,0.99471,0.95063,0.99213,0.99029,0.99471,0.87152,0.33373,0.74633,0.27765,0.79749,0.0009342,0.0009342,0.0009342
85,7482.26,0.46413,0.89248,0.3693,0.88339,0.99331,0.97848,0.99395,0.9461,0.99331,0.97848,0.99395,0.87105,0.34018,0.77154,0.28355,0.80449,0.000932642,0.000932642,0.000932642
86,7590.76,0.4835,0.93952,0.38418,0.89233,0.97533,0.98273,0.99443,0.94429,0.97644,0.98392,0.99447,0.88969,0.34488,0.70246,0.30163,0.79821,0.000931067,0.000931067,0.000931067
87,7702.45,0.45833,0.89402,0.37202,0.88064,0.99172,0.98664,0.99398,0.95293,0.99172,0.98664,0.99415,0.88467,0.31986,0.72955,0.25924,0.79197,0.000929476,0.000929476,0.000929476
88,7781.09,0.46206,0.92321,0.38083,0.87999,0.99492,0.98566,0.99483,0.94695,0.99492,0.98566,0.99485,0.89345,0.32762,0.63886,0.27849,0.79991,0.000927867,0.000927867,0.000927867
89,7837.97,0.50272,0.92644,0.40514,0.88531,0.98817,0.9806,0.99453,0.93269,0.98817,0.9806,0.99453,0.87126,0.37246,0.78917,0.30467,0.80623,0.000926242,0.000926242,0.000926242
90,7895.46,0.49332,0.95372,0.39623,0.87928,0.99428,0.98402,0.99444,0.94522,0.9925,0.9823,0.9925,0.85845,0.3279,0.861,0.27609,0.79577,0.000924601,0.000924601,0.000924601
91,7960.4,0.45159,0.90223,0.36944,0.87796,0.98607,0.98144,0.99411,0.94467,0.98601,0.98144,0.99206,0.87765,0.32266,0.74461,0.28263,0.79359,0.000922942,0.000922942,0.000922942
92,8037.14,0.46489,0.91561,0.37713,0.88031,0.98502,0.99062,0.99361,0.9429,0.98672,0.99235,0.99361,0.86804,0.33562,0.78301,0.28497,0.79613,0.000921268,0.000921268,0.000921268
93,8146.48,0.47521,0.92289,0.38074,0.89254,0.99682,0.99209,0.9949,0.95025,0.99682,0.99209,0.9949,0.8782,0.33762,0.74274,0.26881,0.79286,0.000919576,0.000919576,0.000919576
94,8276.79,0.44698,0.90132,0.36329,0.88364,0.99228,0.9866,0.99438,0.94233,0.99228,0.9866,0.99438,0.87005,0.34985,0.77271,0.2773,0.79775,0.000917869,0.000917869,0.000917869
95,8369.38,0.46154,0.90768,0.3765,0.87918,0.9982,0.98714,0.99382,0.94876,0.9982,0.98714,0.99365,0.889,0.32614,0.67438,0.27853,0.79411,0.000916145,0.000916145,0.000916145
96,8436.6,0.44541,0.87137,0.35166,0.87085,0.98668,0.98798,0.99399,0.94884,0.98847,0.98975,0.99419,0.86971,0.32406,0.74665,0.28272,0.79951,0.000914405,0.000914405,0.000914405
97,8530.88,0.45244,0.88599,0.35843,0.86938,0.98994,0.99483,0.99428,0.94038,0.98994,0.99483,0.99269,0.87906,0.3425,0.70747,0.26854,0.79149,0.000912649,0.000912649,0.000912649
